AtomicNumber,Symbol,Name,AtomicMass,IonizationEnergy,ElectronAffinity,Electronegativity,MeltingPoint,BoilingPoint
1,H,Hydrogen,1.008,13.5984,0.754,2.20,-259.16,-252.87
2,He,Helium,4.003,24.5874,0.0,0.0,-272.20,-268.93
3,Li,Lithium,6.941,5.3917,0.618,0.98,180.54,1342.0
4,Be,Beryllium,9.012,9.3227,0.0,1.57,1287.0,2471.0
5,B,Boron,10.81,8.2980,0.277,2.04,2075.0,4000.0
6,C,Carbon,12.011,11.2603,1.263,2.55,3550.0,4027.0
7,N,Nitrogen,14.007,14.5341,0.0,3.04,-210.0,-195.8
8,O,Oxygen,15.999,13.6181,1.461,3.44,-218.79,-182.95
9,F,Fluorine,18.998,17.4228,3.401,3.98,-219.67,-188.11
10,Ne,Neon,20.180,21.5645,0.0,0.0,-248.59,-246.08
11,Na,Sodium,22.990,5.1391,0.548,0.93,97.79,882.94
12,Mg,Magnesium,24.305,7.6462,0.0,1.31,650.0,1090.0
13,Al,Aluminum,26.982,5.9858,0.441,1.61,660.32,2519.0
14,Si,Silicon,28.085,8.1517,1.385,1.90,1414.0,3265.0
15,P,Phosphorus,30.974,10.4867,0.746,2.19,44.15,280.5
16,S,Sulfur,32.06,10.3600,2.077,2.58,115.21,444.61
17,Cl,Chlorine,35.45,12.9676,3.613,3.16,-101.5,-34.04
18,Ar,Argon,39.948,15.7596,0.0,0.0,-189.34,-185.85
19,K,Potassium,39.098,4.3407,0.501,0.82,63.38,759.0
20,Ca,Calcium,40.078,6.1132,0.025,1.00,842.0,1484.0
21,Sc,Scandium,44.956,6.5615,0.188,1.36,1541.0,2836.0
22,Ti,Titanium,47.867,6.8281,0.084,1.54,1668.0,3287.0
23,V,Vanadium,50.942,6.7462,0.525,1.63,1910.0,3407.0
24,Cr,Chromium,51.996,6.7665,0.666,1.66,1907.0,2671.0
25,Mn,Manganese,54.938,7.4340,0.0,1.55,1246.0,2061.0
26,Fe,Iron,55.845,7.9024,0.151,1.83,1538.0,2861.0
27,Co,Cobalt,58.933,7.8810,0.661,1.88,1495.0,2927.0
28,Ni,Nickel,58.693,7.6398,1.156,1.91,1455.0,2913.0
29,Cu,Copper,63.546,7.7264,1.228,1.90,1084.62,2562.0
30,Zn,Zinc,65.38,9.3942,0.0,1.65,419.53,907.0
31,Ga,Gallium,69.723,5.9993,0.300,1.81,29.76,2204.0
32,Ge,Germanium,72.630,7.8994,1.233,2.01,938.25,2833.0
33,As,Arsenic,74.922,9.7886,0.804,2.18,817.0,614.0
34,Se,Selenium,78.971,9.7524,2.021,2.55,221.0,685.0
35,Br,Bromine,79.904,11.8138,3.364,2.96,-7.2,58.8
36,Kr,Krypton,83.798,13.9996,0.0,3.00,-157.37,-153.22
37,Rb,Rubidium,85.468,4.1771,0.486,0.82,39.31,688.0
38,Sr,Strontium,87.62,5.6949,0.052,0.95,777.0,1382.0
39,Y,Yttrium,88.906,6.2173,0.307,1.22,1526.0,3345.0
40,Zr,Zirconium,91.224,6.6339,0.426,1.33,1855.0,4409.0
41,Nb,Niobium,92.906,6.7589,0.893,1.60,2477.0,4744.0
42,Mo,Molybdenum,95.95,7.0924,0.748,2.16,2623.0,4639.0
43,Tc,Technetium,98.0,7.28,0.55,1.90,2157.0,4265.0
44,Ru,Ruthenium,101.07,7.3605,1.050,2.20,2334.0,4150.0
45,Rh,Rhodium,102.91,7.4589,1.137,2.28,1964.0,3695.0
46,Pd,Palladium,106.42,8.3369,0.562,2.20,1554.9,2963.0
47,Ag,Silver,107.87,7.5762,1.302,1.93,961.78,2162.0
48,Cd,Cadmium,112.41,8.9938,0.0,1.69,321.07,767.0
49,In,Indium,114.82,5.7864,0.300,1.78,156.60,2072.0
50,Sn,Tin,118.71,7.3439,1.200,1.96,231.93,2602.0
51,Sb,Antimony,121.76,8.6084,1.070,2.05,630.63,1587.0
52,Te,Tellurium,127.60,9.0096,1.971,2.10,449.51,988.0
53,I,Iodine,126.90,10.4513,3.059,2.66,113.70,184.4
54,Xe,Xenon,131.29,12.1298,0.0,2.60,-111.75,-108.04
55,Cs,Cesium,132.91,3.8939,0.472,0.79,28.44,671.0
56,Ba,Barium,137.33,5.2117,0.144,0.89,727.0,1870.0
57,La,Lanthanum,138.91,5.5769,0.470,1.10,920.0,3464.0
58,Ce,Cerium,140.12,5.5387,0.500,1.12,798.0,3443.0
59,Pr,Praseodymium,140.91,5.473,0.500,1.13,931.0,3520.0
60,Nd,Neodymium,144.24,5.5250,0.500,1.14,1021.0,3074.0
61,Pm,Promethium,145.0,5.582,0.500,1.13,1042.0,3000.0
62,Sm,Samarium,150.36,5.6437,0.500,1.17,1074.0,1794.0
63,Eu,Europium,151.96,5.6704,0.500,1.20,822.0,1529.0
64,Gd,Gadolinium,157.25,6.1498,0.500,1.20,1313.0,3273.0
65,Tb,Terbium,158.93,5.8638,0.500,1.10,1356.0,3230.0
66,Dy,Dysprosium,162.50,5.9389,0.500,1.22,1412.0,2567.0
67,Ho,Holmium,164.93,6.0215,0.500,1.23,1474.0,2700.0
68,Er,Erbium,167.26,6.1077,0.500,1.24,1529.0,2868.0
69,Tm,Thulium,168.93,6.1843,0.500,1.25,1545.0,1950.0
70,Yb,Ytterbium,173.05,6.2542,0.500,1.10,824.0,1196.0
71,Lu,Lutetium,174.97,5.4259,0.340,1.27,1663.0,3402.0
72,Hf,Hafnium,178.49,6.8251,0.000,1.30,2233.0,4603.0
73,Ta,Tantalum,180.95,7.5496,0.322,1.50,3017.0,5458.0
74,W,Tungsten,183.84,7.8640,0.816,2.36,3422.0,5555.0
75,Re,Rhenium,186.21,7.8335,0.150,1.90,3186.0,5596.0
76,Os,Osmium,190.23,8.4382,1.100,2.20,3033.0,5012.0
77,Ir,Iridium,192.22,8.9670,1.564,2.20,2446.0,4428.0
78,Pt,Platinum,195.08,8.9588,2.125,2.28,1768.3,3825.0
79,Au,Gold,196.97,9.2255,2.309,2.54,1064.18,2856.0
80,Hg,Mercury,200.59,10.4375,0.0,2.00,-38.83,356.73
81,Tl,Thallium,204.38,6.1082,0.200,1.62,304.0,1473.0
82,Pb,Lead,207.2,7.4167,0.356,2.33,327.46,1749.0
83,Bi,Bismuth,208.98,7.2856,0.946,2.02,271.40,1564.0
84,Po,Polonium,209.0,8.417,1.900,2.00,254.0,962.0
85,At,Astatine,210.0,9.318,2.800,2.20,302.0,337.0
86,Rn,Radon,222.0,10.7485,0.0,0.0,-71.0,-61.7
87,Fr,Francium,223.0,4.073,0.500,0.70,27.0,677.0
88,Ra,Radium,226.0,5.2784,0.100,0.90,696.0,1737.0
89,Ac,Actinium,227.0,5.380,0.350,1.10,1051.0,3198.0
90,Th,Thorium,232.04,6.3067,0.000,1.30,1750.0,4820.0
91,Pa,Protactinium,231.04,5.890,0.500,1.50,1572.0,4000.0
92,U,Uranium,238.03,6.1941,0.000,1.38,1135.0,4131.0
93,Np,Neptunium,237.0,6.266,0.500,1.36,644.0,3902.0
94,Pu,Plutonium,244.0,6.026,0.000,1.28,640.0,3228.0
95,Am,Americium,243.0,5.974,0.500,1.30,1176.0,2011.0
96,Cm,Curium,247.0,5.992,0.500,1.30,1345.0,3110.0
97,Bk,Berkelium,247.0,6.198,0.500,1.30,986.0,2627.0
98,Cf,Californium,251.0,6.282,0.500,1.30,900.0,1470.0
99,Es,Einsteinium,252.0,6.420,0.500,1.30,860.0,996.0
100,Fm,Fermium,257.0,6.500,0.500,1.30,1527.0,0.0
101,Md,Mendelevium,258.0,6.580,0.500,1.30,827.0,0.0
102,No,Nobelium,259.0,6.650,0.500,1.30,827.0,0.0
103,Lr,Lawrencium,266.0,4.900,0.500,1.30,1627.0,0.0
104,Rf,Rutherfordium,267.0,6.000,0.000,0.00,0.0,0.0
105,Db,Dubnium,268.0,6.800,0.000,0.00,0.0,0.0
106,Sg,Seaborgium,269.0,7.800,0.000,0.00,0.0,0.0
107,Bh,Bohrium,270.0,7.700,0.000,0.00,0.0,0.0
108,Hs,Hassium,277.0,7.600,0.000,0.00,0.0,0.0
109,Mt,Meitnerium,278.0,8.000,0.000,0.00,0.0,0.0
110,Ds,Darmstadtium,281.0,9.600,0.000,0.00,0.0,0.0
111,Rg,Roentgenium,282.0,10.700,0.000,0.00,0.0,0.0
112,Cn,Copernicium,285.0,11.800,0.000,0.00,0.0,0.0
113,Nh,Nihonium,286.0,7.300,0.000,0.00,0.0,0.0
114,Fl,Flerovium,289.0,8.600,0.000,0.00,0.0,0.0
115,Mc,Moscovium,290.0,5.500,0.000,0.00,0.0,0.0
116,Lv,Livermorium,293.0,6.800,0.000,0.00,0.0,0.0
117,Ts,Tennessine,294.0,7.700,0.000,0.00,0.0,0.0
118,Og,Oganesson,294.0,8.900,0.000,0.00,0.0,0.0
